"filename", "language", "Vue", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\home\post.vue", "Vue", 343, 0, 0, 0, 0, 0, 9, 9, 361
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\home\post_detail.vue", "Vue", 108, 0, 0, 0, 0, 0, 1, 2, 111
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\home\search.vue", "Vue", 189, 0, 0, 0, 0, 0, 6, 5, 200
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\login\index.vue", "Vue", 232, 0, 0, 0, 0, 0, 12, 3, 247
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\orderlist\agency.vue", "Vue", 317, 0, 0, 0, 0, 0, 7, 7, 331
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\orderlist\output.vue", "Vue", 431, 0, 0, 0, 0, 0, 18, 8, 457
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\orderlist\storage.vue", "Vue", 297, 0, 0, 0, 0, 0, 0, 5, 302
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\orderlist\transmit.vue", "Vue", 492, 0, 0, 0, 0, 0, 12, 13, 517
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\pay\index.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\search\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\views\test.vue", "Vue", 72, 0, 0, 0, 0, 0, 0, 2, 74
"c:\Users\16473\Desktop\SmartPurchase\spforestage\vue.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 0, 29
"Total", "-", 6746, 790, 330, 15, 24608, 393, 918, 382, 34182
